б/пл	БЕСПЛАТНО	Н	аббр
С.С.С.Р	СССР	С	ср,ед,0
а/м	АВТОМАШИНА	С	жр,но
ф.-м	ФИЗИКО-МАТЕМАТИЧЕСКИЙ	П	жр,но,рд,мн
ф-м	ФИЗИКО-МАТЕМАТИЧЕСКИЙ	П	жр,но,рд,мн
ф. -м	ФИЗИКО-МАТЕМАТИЧЕСКИЙ	П	жр,но,рд,мн
ф.- м	ФИЗИКО-МАТЕМАТИЧЕСКИЙ	П	жр,но,рд,мн
ф -м	ФИЗИКО-МАТЕМАТИЧЕСКИЙ	П	жр,но,рд,мн
ф- м	ФИЗИКО-МАТЕМАТИЧЕСКИЙ	П	жр,но,рд,мн
физ.-хим	ФИЗИКО-ХИМИЧЕСКИЙ	П	ср,аббр
физ. -хим	ФИЗИКО-ХИМИЧЕСКИЙ	П	ср,аббр
физ -хим	ФИЗИКО-ХИМИЧЕСКИЙ	П	ср,аббр
физ-хим	ФИЗИКО-ХИМИЧЕСКИЙ	П	ср,аббр
физ.- хим	ФИЗИКО-ХИМИЧЕСКИЙ	П	ср,аббр
физ- хим	ФИЗИКО-ХИМИЧЕСКИЙ	П	ср,аббр
пасс.-км	ПАССАЖИРО-КИЛОМЕТР	C	мр,но
ул.	УЛИЦА	С	жр,но,ед
пр.	ПРОСПЕКТ	С	мр,но,ед
пер.	ПЕРЕУЛОК	С	мр,но
см	САНТИМЕТР	С	мр,но
км	КИЛОМЕТР	С	мр,но
сек	СЕКУНДА	С	жр,но
мин	МИНУТА	С	жр,но
барр	БАРРЕЛЬ	С	мр
СТР	СТРАНИЦА	С	жр,но,ед,им,аббр
